Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,52,,
55,152,0.40462027027027025,148
54,64,0.9699119999999999,50
53,39,1.2141749999999998,28
52,26,0.2068,21
51,125,0.13376363636363636,11
50,79,38.417237288135595,59
49,134,13.961023809523809,126
48,146,6.506194871794872,117
47,213,5.537056179775281,178
46,174,1.1770966666666667,150
45,54,0.4342153846153846,26
44,1342,0.0907,45
43,14,2.1499999999999995,1
42,594,0.0766558178752108,593
41,85,,
40,1,,
39,3,,
38,1,,
37,7,0.24082000000000003,5
36,28,,
35,3,,
34,13,6.488888888888889,9
33,14,,
32,14,24.404766666666667,3
31,55,7.0269615384615385,26
30,5,0.3357499999999999,4
29,8,12.094033333333334,6
28,6,4.758500000000001,4
27,13,5.2709,7
26,6,,
25,62,0.7045023255813954,43
24,5,,
23,3,,
19,1,,
16,1,,
