Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,52,,
55,144,0.3321071428571428,140
54,78,1.473550357142857,56
53,31,0.7229524615384616,26
52,28,0.26974628571428577,21
51,127,0.07471476923076922,13
50,79,43.16868467147541,61
49,138,12.53950132921212,132
48,137,8.494830135017544,114
47,211,9.430180544,173
46,177,2.3484541801081082,148
45,57,0.683475493925926,27
44,1339,0.40993867564651165,43
43,16,0.1735378367999998,1
42,603,0.4902487257323588,602
41,76,,
40,1,,
39,2,,
38,2,0.003720000000000001,1
37,7,0.12572979225599998,5
36,28,,
35,3,,
34,12,12.021978,8
33,14,32.86776295384615,13
32,14,0.04499981120000003,2
31,56,10.365708651510154,26
30,5,10.803965487424,4
29,9,15.409321513142856,7
28,4,83.45931066666667,3
27,14,17.72052787093943,7
26,6,,
25,62,14.262988778092355,43
24,5,,
23,3,,
19,1,,
16,1,,
