Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,54,2.748597115384615,52
55,151,0.8769288470560639,147
54,70,0.8704468157069789,55
53,34,0.7234182655673465,28
52,23,0.44997854231131323,18
51,130,0.40037632054815486,13
50,75,40.139786040729,57
49,137,23.684237162202233,127
48,147,11.88170724697303,119
47,206,18.85944438285828,173
46,176,11.789057110299307,147
45,58,9.796426763148322,27
44,1341,9.765493069389423,45
43,14,8.621081841747968,1
42,600,9.772059966852655,599
41,79,,
40,1,,
39,3,,
38,1,,
37,6,7.945048675133425,4
36,29,,
35,3,,
34,12,21.70563066355194,8
33,14,51.67892121926627,13
32,14,8.216091153307694,2
31,54,16.917509797009167,24
30,8,6.211810439830242,5
29,9,22.823558565995384,8
28,4,,
27,13,7.223490023287778,7
26,6,,
25,64,7.871023333912997,45
24,3,,
23,3,,
19,1,,
16,1,,
