Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,54,0.6234711839640745,53
55,140,1.4781388355532918,137
54,78,2.1539592082916537,53
53,35,2.0747228849292445,27
52,26,19.483435192009306,20
51,127,20.465156986251227,12
50,76,153567195332.80594,57
49,133,29712.783394147937,123
48,151,4843.716018342247,119
47,210,192749.02450912763,177
46,181,1632592.6110766628,156
45,48,4333195.658808982,26
44,1341,575718135.860249,44
43,14,,
42,607,2834368.9656186393,605
41,73,,
40,1,,
39,2,,
38,2,572298.2535651417,1
37,7,1146042.6636901244,5
36,28,,
35,3,,
34,11,1697956.2702986323,7
33,17,1073404.7705706044,15
32,12,1742180.0915618883,2
31,56,4603493.48248125,26
30,5,2365081.810532671,4
29,9,2387563.1762960246,7
28,5,3134874.380294721,4
27,12,3337518.403108102,6
26,6,3753484.246198378,5
25,64,4379191.431936248,44
24,4,,
23,3,,
19,1,,
16,1,,
