Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,53,40.76676249356895,52
55,142,8.978921141208135,138
54,81,7.303161529354327,57
53,33,4.608440242628528,29
52,23,9.294501765624958,19
51,127,6.662071297829879,11
50,76,41.191380666540276,56
49,146,14.554892326283962,135
48,142,11.195780521088695,122
47,205,12.003977735378065,175
46,175,6.816753092639873,148
45,56,9.201085372420271,26
44,1341,5.736336761803824,44
43,15,3.5644672896697616,1
42,601,6.513271124529986,600
41,78,,
40,1,,
39,3,,
38,1,,
37,5,5.502690644897225,3
36,30,,
35,3,,
34,12,15.275915519787373,8
33,16,25.768475603033657,15
32,13,45.6453596390796,3
31,53,8.550488378566683,24
30,8,8.01783035367348,5
29,8,4.054573624277862,7
28,4,14.78735892400816,3
27,12,13.026316727887195,5
26,7,61.10234691277156,5
25,62,24.76515301907608,42
24,6,,
23,3,,
19,1,,
16,1,,
