Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,53,12.719394067118154,51
55,144,4.49042056995178,139
54,79,3.7261287622179724,56
53,33,2.7452164793079645,28
52,25,3.9272636842722046,20
51,126,2.862953467908532,11
50,77,40.33664942057759,57
49,133,13.182559104584072,123
48,146,10.222130852792167,114
47,216,8.025243163184077,178
46,177,4.340258674560757,153
45,51,4.1334762488655175,26
44,1338,2.0898008918195625,41
43,18,16.822596570336376,1
42,618,2.023827959837715,617
41,61,,
40,1,,
39,3,,
38,1,,
37,7,5.353822013525595,5
36,28,,
35,3,,
34,12,19.328220339585336,8
33,14,23.562223692546322,13
32,15,38.29868250667251,3
31,54,10.519592480422785,25
30,6,10.66568487842495,4
29,10,8.025471722084369,8
28,3,,
27,14,28.05973426190759,7
26,6,,
25,56,24.440258772400238,37
24,11,,
23,3,,
19,1,,
16,1,,
