Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,55,2.1565007792231037,54
55,143,0.5614561959346701,141
54,76,1.502788379941248,55
53,32,0.6244141483283696,26
52,29,0.9794347324204677,22
51,124,0.6711052074477813,11
50,80,38.334795400162704,60
49,126,11.914506371548963,119
48,156,11.529602450089282,120
47,204,10.140822311070377,172
46,183,4.133813444540783,153
45,50,2.925650083143425,25
44,1340,2.6439276549797244,42
43,17,13.437687246194805,1
42,613,4.216726559672603,612
41,66,,
40,1,,
39,3,,
38,1,,
37,6,1.5944266701918717,4
36,29,,
35,3,,
34,13,15.890615937870827,9
33,12,,
32,16,42.69532553746722,3
31,51,11.862962050896419,22
30,9,17.067825714965885,4
29,9,13.63039922768555,7
28,5,55.68717151131181,4
27,13,23.078199220785848,7
26,5,,
25,63,37.55410422796577,43
24,5,,
23,3,,
19,1,,
16,1,,
