Iteration,SampleCount,P_ANGULAR_DISTANCE,P_ANGULAR_DISTANCE_Weight
56,54,,
55,141,5.599251438848921,139
54,77,6.188214814814814,54
53,37,17.567309999999996,30
52,24,17.767873809523806,21
51,126,18.006924999999995,12
50,76,36.10019210526316,57
49,132,19.909060152187084,122
48,156,17.926129443095455,123
47,196,16.95909983048608,167
46,182,10.08407567503943,147
45,53,6.742827016809309,22
44,1346,3.826428140816098,45
43,14,4.570684411312276,1
42,616,7.82922902323348,615
41,63,,
40,1,,
39,3,,
38,1,,
37,7,2.807376846529499,5
36,28,,
35,3,,
34,13,25.710972484201783,9
33,15,,
32,13,32.51490769447364,3
31,53,20.931766905392326,24
30,7,32.74820156765316,4
29,9,12.494303625036235,7
28,4,45.86003768407913,3
27,13,15.738764747405224,6
26,5,88.05206925433204,4
25,64,61.171122109779645,43
24,5,,
23,3,,
19,1,,
16,1,,
