Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,52,0.1228683158,50
55,151,0.023515845337931038,145
54,67,0.041290644796296294,54
53,38,0.010247271113793106,29
52,27,0.002607452026086955,23
51,117,0.006909048217391306,115
50,82,0.3715142086791667,72
49,138,0.158399760359375,128
48,145,0.06481668385496184,131
47,216,0.13788996776262627,198
46,169,0.009139441197368417,152
45,55,0.025171643555555547,36
44,1196,0.010186079011754829,1191
43,163,0.004984242181818193,11
42,622,,
41,57,0.07179350000000004,4
39,4,0.01243311499999999,3
38,1,,
37,7,0.001831041800000001,5
36,28,,
35,3,,
34,13,,
33,14,,
32,14,0.06000253769999997,10
31,54,0.09403305076000003,25
30,7,0.16809087399999995,5
29,8,,
28,4,0.27478791833333316,3
27,11,0.06363595999999999,10
26,9,0.3280571831666667,6
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
