Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,52,0.1583588437254902,51
55,143,0.06213177111594203,138
54,78,0.06577693671034483,58
53,37,0.037112634374374995,32
52,23,0.027614079389818177,22
51,114,0.024439787771243244,111
50,90,1.1303180277166316,76
49,136,0.39529855229175387,130
48,149,0.24011055829255476,137
47,206,0.16189717324251549,194
46,175,0.06128154120103896,154
45,55,0.056227813022736835,38
44,1201,0.06339717244372287,1198
43,154,0.049307752577777766,9
42,610,0.029146467715947366,608
41,71,0.25175134300000007,4
40,1,,
39,2,,
38,2,0.01336292,1
37,7,0.076188454768,5
36,28,,
35,3,,
34,11,,
33,16,0.6207676588714285,14
32,14,0.2974719591824,10
31,55,0.1345365880658462,26
30,5,0.50508674366,4
29,9,0.061160903245000044,8
28,4,0.34449461394666636,3
27,11,0.17070373502399996,10
26,9,1.3552982345333333,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
