Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,54,0.1427429276981132,53
55,146,0.1441989819267512,143
54,71,0.09800316835185144,56
53,39,0.10042264448391533,32
52,26,0.07248192315785644,25
51,116,,
50,86,1.4426585324285524,77
49,135,1.1155235607330192,130
48,146,0.6598486111201786,134
47,205,0.9690529923259986,190
46,167,0.5387976840185513,142
45,64,0.6168934274969221,35
44,1216,0.4328727931325437,1210
43,144,0.3330289511790331,11
42,601,,
41,77,0.7320399309152004,3
40,2,0.282972460191254,1
39,3,,
38,1,,
37,4,0.15050175062679996,2
36,31,,
35,3,,
34,13,,
33,14,,
32,13,0.3906831418943661,9
31,56,0.7773199251909599,26
30,6,0.9909419055235474,5
29,9,,
28,4,,
27,10,,
26,9,2.213962316343929,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
