Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
58,69,0.17356791710555763,68
57,161,0.10107707968696303,158
56,96,0.1542822519929686,75
55,52,0.12479575824760639,46
54,33,0.07965923690504126,28
53,140,5.717646744621729,137
52,149,93.61783965453292,134
51,203,2.3895408820020405,192
50,214,7.22071692665174,189
49,244,1.182215170917365,231
48,204,0.29367553845934735,169
47,62,2.050967834213616,44
46,1241,0.4281117839770959,1236
45,150,0.476777770953546,11
44,605,0.150138720204066,604
43,77,1.1847511840367881,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,9,0.2830039646265431,7
38,33,,
37.0,2.0,,
36,17,1.327190799188342,16
35,22,104.01924074877712,21
34,13,10.885480350465006,10
33,63,3.072219835066342,32
32,8,1.9465227327685943,7
31,15,,
30,10,217.75110314599502,9
29,19,66.5241292823384,17
28,12,263.96987937715267,11
27,74,2.2495088652051662,73
26,13,249.47182545632697,3
25.0,4.0,,
24.0,2.0,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
