Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,51,0.1564064266959352,50
55,146,0.02205241212584681,140
54,72,0.07083020919264324,54
53,39,0.0033983714025239663,30
52,27,0.008248607050096259,24
51,113,0.4877834162379926,112
50,89,0.09000116633110976,76
49,132,0.036748701416085654,126
48,153,0.055248438136117684,137
47,211,0.07601674864389574,199
46,175,0.07448655231827714,159
45,48,0.1966881690714319,36
44,1199,0.43502638693372514,1194
43,160,0.17687261262819576,11
42,603,,
41,76,0.15862613607725842,4
40,1,,
39,3,,
38,1,,
37,7,0.019813381219389456,5
36,28,,
35,3,,
34,12,,
33,16,0.07462949340794987,15
32,13,0.4852855696940163,10
31,55,0.262167868237365,26
30,6,0.16900132139315102,5
29,9,,
28,4,,
27,9,,
26,9,0.5272362662075503,5
25,62,0.3071302891772133,61
24,6,,
23,3,,
19,1,,
16,1,,
