Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,50,,
55,147,0.21424638483176114,141
54,71,0.15738883032608147,54
53,39,0.1128999258392443,30
52,27,0.29139036250324263,24
51,117,0.19063093814569373,116
50,85,0.44819926402712956,76
49,132,0.316952610766874,126
48,140,0.18970175488769464,124
47,215,0.17181062530932556,190
46,178,0.1374699485163228,153
45,56,0.20479698476772232,38
44,1216,0.13814030622683318,1213
43,139,0.10647659306048018,9
42,612,0.08269463850001163,610
41,69,0.3825721135991799,4
40,1,,
39,3,,
38,1,,
37,7,0.8597297434532474,5
36,28,,
35,3,,
34,12,,
33,17,0.2592084711029975,16
32,11,0.43492097088105813,9
31,53,0.1518332628854286,23
30,9,0.2096563859646161,5
29,6,,
28,7,0.5301348423910686,4
27,11,,
26,7,0.21167562586487143,5
25,62,0.22961432358323153,61
24,6,,
23,3,,
19,1,,
16,1,,
