Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,53,0.15709361903846153,52
55,139,0.5456957362454499,135
54,76,0.5087446690150658,53
53,41,0.529443470337551,31
52,22,0.5297575371034776,20
51,111,0.5113549631471606,106
50,93,0.7129337096984151,74
49,137,0.43101510741465,129
48,150,0.42900060848444477,137
47,211,0.44200636367812246,199
46,174,0.4637122397581967,158
45,51,0.5036183096521298,38
44,1192,0.42993416592106215,1189
43,165,0.4532417952786333,11
42,624,,
41,54,0.49052603257483196,3
40,2,0.5510592474983521,1
39,3,,
38,1,,
37,7,0.35989258580323313,5
36,28,,
35,3,,
34,13,,
33,13,,
32,13,0.37291669187121407,8
31,56,0.3832696954299781,25
30,5,0.24249365850230795,3
29,10,0.4186220067142784,8
28,5,0.440973858624507,4
27,11,,
26,8,0.4843741879356549,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
