Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,52,0.15062863058823528,51
55,143,0.5842966488028617,138
54,80,0.5620046679566869,60
53,31,0.5759648589136399,28
52,25,0.5933828301629044,20
51,119,0.562797923381513,114
50,78,0.8663702319600024,67
49,142,0.4704999270657016,127
48,153,0.4435755642792288,138
47,207,0.4547426277563942,196
46,173,0.44358295753195026,154
45,55,0.4666953040232853,38
44,1203,0.46560317464927004,1200
43,154,0.4237282083965511,11
42,612,,
41,67,0.24040006083220722,4
40,1,,
39,3,,
38,1,,
37,6,0.26503141990502593,4
36,29,,
35,3,,
34,11,,
33,16,0.5092822305224418,14
32,12,0.3525163261442987,8
31,57,0.2909753461477579,26
30,6,0.30839921792268216,5
29,6,,
28,6,0.4209167535214921,3
27,12,0.34216072634317884,11
26,7,0.5201157809968378,5
25,66,0.33184197711208907,65
24,2,,
23,3,,
19,1,,
16,1,,
