Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,50,,
55,148,0.15715194388028167,142
54,72,0.15772774794642855,56
53,37,0.09627063812,30
52,27,1.1668507143333333,24
51,111,0.6410284769272727,110
50,93,1.83988695475,20
49,146,0.29212453999999993,3
48,149,0.19488809357142856,14
47,215,,
46,171,5.222479,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,13,0.0913229705,4
33,16,0.0010014099999999942,1
32,10,0.765073664,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
