Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,48,,
55,146,0.37555733636768646,138
54,76,0.41376590290763227,56
53,36,0.40044958158171745,29
52,26,0.24147796465046759,22
51,123,1.142636783239129,120
50,83,2.9469681703671258,20
49,146,0.3338237617605074,3
48,148,0.5781439365178614,13
47,216,,
46,171,22.424923139079528,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,6.593948861090285,25
35,6,,
34,13,0.6171683544267125,4
33,16,0.6697909967262037,1
32,12,0.730598520378239,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
