Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,,
55,144,0.21479915785866807,140
54,70,0.3449591228613055,52
53,42,0.19074972987306182,31
52,22,0.4998446046641152,20
51,122,0.8006262686926574,117
50,86,5.932374691415956,20
49,146,26.38251826178285,3
48,149,1874.4783450373945,14
47,215,,
46,171,3122.921737442187,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,1389.7649333511526,1
37,7,,
36,26,,
35,5,,
34,13,405.77751637941515,4
33,16,1302.4522323722329,1
32,11,1480.3301864767202,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
