Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,49,,
55,156,0.9118028601671047,149
54,63,1.207847754142463,54
53,39,1.0006084471981138,30
52,24,2.5228278016495858,21
51,119,1.2542928327232035,115
50,88,2.0484115801392186,20
49,146,2.5878398482534255,3
48,145,1.5673716229750254,10
47,219,,
46,171,13.186397481628267,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,26,2.148640129108881,25
35,6,,
34,13,2.132412051217329,4
33,16,0.5487073059381449,1
32,10,1.5873865843627106,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
