Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,50,,
55,153,0.5428799745414532,147
54,63,0.43414040032545037,52
53,41,0.6287946984112607,30
52,25,1.7873825638923355,22
51,115,0.7974668465352177,112
50,93,1.4817825578339838,22
49,144,1.1149259204728643,3
48,147,0.7929466063008754,12
47,217,,
46,171,1.151391432327852,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,0.24906994932638446,3
37,8,1.813450543847998,7
36,27,,
35,4,,
34,13,0.3226448809184446,4
33,16,0.9882995824391153,1
32,10,0.7366761743478876,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
