Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,51,,
55,147,0.7374751744014085,142
54,76,2.572720284366666,60
53,32,2.625540945951724,29
52,24,3.8615462957299993,20
51,120,1.6325210766956826,115
50,90,2.518083504458564,22
49,144,4.161619162942286,3
48,146,2.705988784260617,11
47,218,,
46,171,0.6829421214547367,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,,
36,24,3.1471817743998245,22
35,9,,
34,13,2.2283906773037216,4
33,16,1.4590954812217787,1
32,12,2.3348179273724545,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
