Iteration,SampleCount,P_DENSITY,P_DENSITY_Weight
56,52,0.5014378761960785,51
55,149,0.7228393236111113,144
54,66,2.532324898480769,52
53,41,2.5505430075699995,30
52,27,3.656768219599999,24
51,110,2.284609699251639,109
50,97,2.6801865119380675,23
49,143,4.099865984751417,3
48,148,2.6327742489300197,13
47,216,,
46,171,10.1491327605538,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,13,1.4291556844605402,4
33,16,0.8447578678829116,1
32,11,1.859178571990119,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
