Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,49,,
55,151,0.016041406222222224,144
54,70,0.004496645428571426,56
53,38,0.00417521458064516,31
52,25,0.0032675815652173893,23
51,118,0.010119797853448277,116
50,79,0.4218947241342857,70
49,139,0.0886328564488189,127
48,145,0.033960146046153855,130
47,202,0.05802105938797812,183
46,184,0.0038524263486842117,152
45,56,0.0255911487837838,37
44,1213,0.005314423061621174,1209
43,145,0.0047637370909090915,11
42,616,,
41,62,0.016340439999999994,3
40,2,0.00021200899999999565,1
39,2,,
38,1,,
37,8,0.0005318885999999856,5
36,28,,
35,3,,
34,13,,
33,12,,
32,15,0.023760201222222145,9
31,55,0.03609277019999999,25
30,7,0.018462190800000146,5
29,7,,
28,6,0.09964648875000005,4
27,10,,
26,8,0.23461306000000018,5
25,67,0.051164750499999995,66
24,1,,
23,2,,
22,1,,
19,1,,
16,1,,
