Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,48,0.10475404501702128,47
55,150,0.11022671087852269,141
54,76,0.07398300606028127,59
53,34,0.08376410087278802,30
52,25,0.05949375000884441,22
51,118,0.055477724971100824,115
50,84,1.2378323183426616,74
49,139,0.8763060511653987,131
48,145,0.550161046772683,134
47,209,0.7221080887124941,194
46,180,0.41759958552946613,159
45,50,0.5143880101252694,38
44,1201,0.32780183149624104,1198
43,154,0.23223796410162628,9
42,607,0.18437960507126883,605
41,73,1.331719332857095,3
40,2,0.23930083040012548,1
39,3,,
38,1,,
37,7,0.12566086305811397,5
36,28,,
35,2,,
34,12,0.17124702811507614,11
33,18,1.6280247310616498,16
32,12,0.7568476973860059,10
31,54,0.5314735466437955,25
30,7,0.7466515888943988,5
29,8,,
28,4,1.5474406394348383,3
27,11,0.6107599129335058,10
26,8,2.1138146224819168,5
25,61,1.3223467244537852,60
24,7,,
23,3,,
19,1,,
16,1,,
