Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,49,,
55,148,0.00023706270882477195,141
54,69,0.0034943901003534183,52
53,43,0.0007934040013666964,32
52,25,0.002913241909656567,24
51,114,0.010577797259088275,113
50,91,1568.3011984264465,79
49,128,0.009669344879178716,125
48,151,0.06860202530134575,134
47,206,0.5114398475462725,191
46,171,0.1445792392104359,147
45,58,0.21823440232690816,34
44,1215,0.20527075095139985,1208
43,144,0.20471251859370787,9
42,611,0.1282713686080334,609
41,70,0.2642259765387608,4
40,1,,
39,3,,
38,1,,
37,7,0.0696987810225939,5
36,28,,
35,3,,
34,12,,
33,15,0.053550865356307896,14
32,13,0.12705932136702214,9
31,55,0.0658973020341051,25
30,7,0.2511823522002644,5
29,9,,
28,3,,
27,13,0.25636681387429977,12
26,7,0.1276655155499821,6
25,64,,
24,3,,
23,3,,
19,1,,
16,1,,
