Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,53,,
55,148,0.14014600144645634,145
54,71,0.12990794641673944,58
53,37,0.11857138724333592,32
52,22,0.14334875167801858,21
51,105,0.17529346717208175,101
50,101,0.24421696748161545,77
49,131,0.1756486100407145,126
48,150,0.15971836214867074,134
47,208,0.1251979911153384,193
46,178,0.10946069608403236,156
45,54,0.11226233336285968,39
44,1210,0.10110882084598442,1208
43,146,0.05011814932676186,11
42,604,,
41,75,0.2214980064025426,4
40,1,,
39,2,,
38,2,0.06723170864878392,1
37,6,0.1517737441803143,4
36,29,,
35,3,,
34,13,,
33,12,,
32,15,0.09345674206843482,9
31,55,0.1307896348916128,25
30,7,0.1327100896323125,5
29,8,,
28,4,0.11929598742254958,3
27,13,0.26222005953094113,12
26,7,0.19966141559149847,6
25,57,,
24,10,,
23,3,,
19,1,,
16,1,,
