Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,50,,
55,144,0.04763938847031655,138
54,77,0.030457358821307033,57
53,36,0.034006243859084274,30
52,25,0.029891936220778164,22
51,118,0.020461622450102957,115
50,88,0.5581726802068487,78
49,132,0.07786623819638523,128
48,148,0.031087736361987514,134
47,206,0.02938646817674924,191
46,177,0.01357388552668466,153
45,55,0.020289223882113044,37
44,1205,0.014216551212560772,1201
43,153,0.017701545453339875,11
42,608,,
41,70,0.05594746139422931,3
40,2,0.00802019518160954,1
39,3,,
38,1,,
37,7,0.013284074647695826,5
36,28,,
35,3,,
34,11,,
33,18,0.03689588567256348,16
32,12,0.021844144826657634,10
31,51,0.024495021280963546,22
30,10,0.04651818056511619,5
29,9,,
28,4,,
27,13,,
26,6,,
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
