Iteration,SampleCount,P_DISTANCE,P_DISTANCE_Weight
56,50,,
55,153,0.4551626441534315,147
54,65,0.43703465814218345,54
53,41,0.4470823747243582,32
52,21,0.4712614660174829,20
51,118,0.43438783854744023,113
50,84,0.5976620482358223,72
49,145,0.35055562513934585,135
48,143,0.34954326931537616,136
47,204,0.36295383817829907,191
46,172,0.41451282775176335,148
45,60,0.40117403817360586,37
44,1212,0.39862995953652997,1208
43,144,0.4400792562135688,9
42,603,0.4224403816063043,601
41,78,0.5895726559212,4
40,1,,
39,2,,
38,2,0.24680607749193254,1
37,7,0.3561820636779825,5
36,28,,
35,3,,
34,11,,
33,18,0.34448481841911294,16
32,9,0.3124221839876059,7
31,59,0.34769806441148776,27
30,4,,
29,9,0.3872025219607994,8
28,5,0.5105372583048869,4
27,12,,
26,7,0.796470745896843,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
