Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,54,0.10946769909433962,53
55,145,0.030163192450704233,142
54,74,0.00788036134482759,58
53,36,0.0017117852451612914,31
52,25,0.004557298752173914,23
51,114,0.007848020107142858,112
50,87,0.34010038533648657,74
49,137,0.0706144638527132,129
48,148,0.02264808238888889,135
47,211,0.04373450524873096,197
46,172,0.005330098587012982,154
45,55,0.023222325131578972,38
44,1199,0.008677330114548498,1196
43,155,0.04359414212500001,8
42,609,0.0009761464636963707,606
41,73,0.008262147499999963,4
40,1,,
39,3,,
38,1,,
37,7,0.0005801175999999963,5
36,28,,
35,3,,
34,11,,
33,17,0.1181946829333332,15
32,13,0.10062224809999994,10
31,53,0.018775497999999988,24
30,7,0.021714639999999917,4
29,10,0.0007479672222222443,9
28,4,,
27,12,,
26,5,0.031459256249999956,4
25,60,0.05751036379310345,58
24,9,,
23,3,,
19,1,,
16,1,,
