Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,50,0.13333436515918368,49
55,151,0.05983929209888889,144
54,69,0.05662188615447272,55
53,36,0.022088965037714285,28
52,26,0.025986256101714286,21
51,113,0.020507818210554127,109
50,89,0.8638656509510136,73
49,140,0.27785222020421374,131
48,147,0.18743908231594117,136
47,208,0.12801906871676225,195
46,172,0.04801236205610526,152
45,54,0.07710649899658972,35
44,1219,0.06282417550661408,1213
43,141,0.07432614462036363,11
42,603,,
41,76,0.09066402604999997,4
40,1,,
39,3,,
38,1,,
37,6,0.06197051956000001,4
36,29,,
35,3,,
34,12,,
33,15,0.47291271603531443,14
32,14,0.23578717961999995,10
31,52,0.13500388494782606,23
30,8,0.26428334736,4
29,10,0.06192321931466662,9
28,3,,
27,12,0.1484332429600001,11
26,8,1.4528067146493333,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
