Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,47,,
55,149,0.09898989917857146,140
54,74,0.08472618131078034,56
53,35,0.08271653019065693,28
52,28,0.060265824178129854,23
51,119,0.05737004852183088,117
50,79,1.1440924542760333,71
49,135,0.8315330228367028,124
48,152,0.5330378289607361,134
47,206,0.684200326097522,191
46,184,0.39822512156668605,160
45,49,0.4964196832177386,38
44,1222,0.3076003188980496,1219
43,135,0.2871095634162393,11
42,602,,
41,77,1.0140425725,4
40,1,,
39,3,,
38,1,,
37,7,0.11957084664112856,5
36,28,,
35,2,,
34,13,0.17352138873499454,12
33,15,1.484178385104391,14
32,14,0.7363070137028703,10
31,50,0.5928316852814407,21
30,10,0.82243355875,4
29,10,0.4137376347012116,9
28,4,,
27,9,,
26,10,2.2551483574714437,6
25,57,,
24,10,,
23,3,,
19,1,,
16,1,,
