Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,51,0.11436600839297353,49
55,143,0.013737938277113204,136
54,77,0.01031798224603935,55
53,35,0.0035331833076746645,27
52,31,0.007310144312375822,25
51,113,,
50,86,1373659.784707692,74
49,128,5.782990991026214,120
48,158,1.9186946772613356,136
47,204,0.09296716122326039,191
46,181,0.5182652794941484,157
45,52,0.9968030778911553,38
44,1212,0.6120259817083655,1209
43,144,0.7479307486882143,10
42,615,0.4071838632176546,614
41,65,1.0116765348800754,4
40,1,,
39,2,,
38,2,0.3649220494568874,1
37,7,0.21939645119666198,5
36,28,,
35,2,,
34,14,0.31117110358899935,13
33,14,,
32,14,0.9840897119753859,10
31,55,0.8377987407861416,26
30,6,0.9884538437415082,5
29,8,,
28,4,1.7866331666733555,3
27,13,0.8511180374848475,12
26,7,1.90789233206481,6
25,60,,
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
