Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,51,0.43479538171790355,49
55,153,0.12436797608671499,146
54,70,0.04159844712800771,58
53,35,0.06994873547528922,30
52,28,0.06644065341004277,25
51,118,,
50,77,0.1937465639979161,70
49,140,0.12249801878510466,128
48,148,0.05668536337498204,134
47,205,0.045211624928856074,190
46,174,0.029961481671885226,149
45,60,0.02653513836808899,38
44,1211,0.025361611651002335,1208
43,143,0.05797747811453574,8
42,608,0.026221206818980734,605
41,74,0.15980289480643647,4
40,1,,
39,3,,
38,1,,
37,6,0.07617703732995543,4
36,29,,
35,3,,
34,13,,
33,15,,
32,11,0.07089198633098577,8
31,57,0.051669831394546194,26
30,5,0.11797157952007345,4
29,9,0.06279609775660742,8
28,5,0.13426098506098663,4
27,13,,
26,3,,
25,62,0.11788285026909187,59
24,8,,
23,3,,
19,1,,
16,1,,
