Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,53,,
55,144,0.05414774874827173,141
54,70,0.02785094778835256,53
53,40,0.02901976523377122,30
52,25,0.02440614803069079,22
51,121,0.017535212057187312,118
50,76,0.3394353932104298,69
49,145,0.043379458543577304,132
48,143,0.017907134482347854,133
47,206,0.014717776769480884,190
46,176,0.00901178539544135,151
45,56,0.011588707735506909,36
44,1220,0.011129714986129281,1215
43,139,0.01546359179898659,11
42,605,,
41,74,0.020919831488983867,4
40,1,,
39,3,,
38,1,,
37,7,0.012243206565336952,5
36,28,,
35,3,,
34,11,,
33,16,0.02022551434409174,14
32,12,0.01747963224950526,8
31,55,0.014478053816742876,24
30,8,0.022798710057839323,5
29,9,,
28,3,,
27,13,0.0430705898733456,12
26,6,0.06793866368987331,5
25,58,0.049739239850222675,57
24,10,,
23,2,,
22,1,,
19,1,,
16,1,,
