Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,52,0.13539801120588235,51
55,151,0.43588629045479166,146
54,68,0.4426079693994401,56
53,34,0.46465739042722665,27
52,29,0.46539611610175774,23
51,115,0.44422640995113416,113
50,85,0.6133547705335867,73
49,137,0.34600789568292195,128
48,144,0.3416063844944876,130
47,210,0.35693822037912015,191
46,183,0.42272158277260385,159
45,51,0.40982755507092994,39
44,1202,0.40558191069781285,1200
43,153,0.40018444917371004,10
42,609,0.41608915064393937,608
41,71,0.600692897027451,4
39,4,0.4330616756960092,3
38,1,,
37,7,0.38158230578181845,5
36,28,,
35,3,,
34,12,,
33,15,0.29785429337636354,14
32,12,0.4562687603095869,8
31,56,0.32025006518406607,25
30,7,0.3301400950080235,5
29,7,,
28,5,0.4495625126435878,3
27,12,0.41290901230298865,11
26,8,0.8598318577744433,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
