Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,54,0.21036711538461542,52
55,145,0.11135471764117941,138
54,75,0.10029463916165804,47
53,36,0.10486266509673185,14
52,26,0.07519444298617166,9
51,119,0.09830619510335746,79
50,82,0.12997923305460563,65
49,135,0.14677606620472428,125
48,149,0.10381265562669444,112
47,210,0.15870630901086044,142
46,183,0.11438845658610167,39
45,47,0.12096056153465536,9
44,1344,0.08687630112338136,3
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.12279123190053236,3
36,29,,
35,3,,
34,13,,
33,15,,
32,12,0.13203985481473002,3
31,53,0.09453443518408512,23
30,9,0.282,4
29,9,0.09726868509062019,3
28,3,,
27,13,0.0947088224136529,7
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
