Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,50,0.29754557735264203,49
55,153,0.21734844861884656,143
54,73,8.38577850917915,50
53,34,0.44029987822175026,15
52,26,0.7918102464621886,10
51,116,0.5854917887381199,77
50,86,46645105.33842023,67
49,126,152.5733502538424,118
48,156,2570.9261810133717,112
47,212,524.1853661153585,144
46,182,917.0796269533232,40
45,44,264.581706972182,7
44,1346,239.62953426781854,3
43,11,,
42,675,,
41,4,,
40,1,,
39,1,,
38,2,,
37,8,564.477607846786,4
36,28,,
35,3,,
34,13,,
33,15,,
32,13,465.06565872538226,4
31,52,488.3619930497354,23
30,8,861.2825709879952,3
29,9,609.1297346750403,2
28,5,660.4443249032526,1
27,13,603.084958168898,8
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
