Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,52,0.23169246920229064,50
55,143,0.11152873035849331,134
54,74,0.10619615936368233,42
53,39,0.10788710345820972,12
52,29,0.06909163726953434,10
51,120,0.08479476327917086,81
50,83,0.10251869358506226,68
49,131,0.12526030812919892,124
48,150,0.10027808071521936,112
47,212,0.08660833123310183,144
46,185,0.09444657910240413,43
45,43,0.1177297592576065,9
44,1344,0.07509905950133808,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.03479818125432485,1
37,7,0.14620254885457162,4
36,28,,
35,3,,
34,13,,
33,16,,
32,12,0.0629012041953123,4
31,54,0.07119677777845018,25
30,7,0.18252176811419238,4
29,8,0.1010842333140912,2
28,4,,
27,12,0.12127154562918195,6
26,8,,
25,67,,
23,3,,
19,1,,
16,1,,
