Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,50,,
55,144,0.11338680138544469,135
54,75,0.08774663714563402,44
53,40,0.09856825910673211,15
52,26,0.07222130866338912,10
51,121,0.0835566185313285,82
50,78,0.10825403530633955,64
49,133,0.11113129191919706,122
48,157,0.08871189748194225,117
47,203,0.09908927217797904,140
46,189,0.10414572086807294,43
45,44,0.11738094043211424,10
44,1343,0.08720270277044506,3
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.07573914028796305,1
37,7,0.09329758595931743,4
36,28,,
35,2,,
34,12,0.0851824207382099,11
33,17,0.11094593387202618,15
32,12,0.04249720596082449,3
31,53,0.06366577018094507,23
30,9,0.15575581964915794,4
29,9,0.06050253811057649,3
28,4,0.017446100939525644,1
27,12,0.08025229402727835,7
26,7,,
25,67,,
23,3,,
18,1,,
16,1,,
