Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,51,,
55,152,0.3133782224489796,147
54,65,0.0926924537037037,54
53,41,0.06153220593749999,32
52,23,0.18948881818181829,22
51,112,0.09170444862385323,109
50,97,0.04945359565217394,23
49,143,0.1542091966666667,3
48,148,0.0795872461538461,13
47,216,,
46,171,0.8513609999999989,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,,
36,26,0.36637787499999985,24
35,7,,
34,11,0.09133127500000032,2
33,18,0.11426649999999983,1
32,11,0.049548231666666886,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
