Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,53,2.231682245784314,51
55,145,1.7547473658446118,140
54,73,1.742394647629447,55
53,38,1.9316925270064302,30
52,28,2.07531472427685,25
51,115,,
50,90,1.6407050545454545,22
49,144,3.371038327434226,3
48,148,2.0590065307380643,13
47,216,,
46,171,9.357676946217644,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.07838767200579877,1
37,7,,
36,24,,
35,7,,
34,12,2.9644672286192364,3
33,17,0.25602484791385205,1
32,11,2.1677179974571708,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
