Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,49,2.74716049002305,48
55,150,2.1162224062533292,142
54,75,2.4183837949677662,59
53,34,1.2026084724980617,30
52,25,3.490273436513457,22
51,112,1.4539333172183102,109
50,94,0.4420418521898271,20
49,146,18.881542737804608,3
48,148,22.187380482875273,13
47,216,,
46,171,1163.602411725598,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,1511.2293879033496,4
33,16,250.45409488210385,1
32,12,1347.6859330018328,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
