Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,53,1.71018938385088,52
55,142,0.9084556744669195,138
54,81,1.4705130833999625,61
53,32,0.8879670711522647,30
52,25,0.8315579744549687,22
51,111,0.722860738268979,108
50,96,0.5241599632357303,21
49,145,0.40937143556164485,3
48,148,0.6842785615464034,13
47,216,,
46,171,1.7668980598661541,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,13,0.7852078704138139,4
33,16,0.1243808244668374,1
32,12,0.8605320436671948,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
