Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,53,2.17954686544929,52
55,151,0.6984989058637757,147
54,69,0.3000161192456275,58
53,33,0.23836409512834272,28
52,27,0.2621763890902083,22
51,113,0.41972855979837137,110
50,93,0.24272865286238052,20
49,146,0.44144073027575614,3
48,148,0.2552525359094422,13
47,216,,
46,171,6.247367873835779,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.36307106151263113,1
37,5,,
36,28,1.1826206198112599,26
35,5,,
34,13,0.8640724229659018,4
33,16,0.02059523728814705,1
32,10,0.6530237241817759,5
31,58,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
