Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,53,,
55,143,0.829183300340536,140
54,73,0.475825085711175,55
53,40,0.5341115108328649,32
52,23,0.5334518887939913,22
51,117,0.4564451700937717,114
50,91,0.39030693492455415,22
49,144,0.3416937711690869,3
48,147,0.488659520887581,12
47,217,,
46,170,,
45,42,,
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,0.43808086358315457,3
37,6,0.5533415509379445,5
36,28,0.7882265933736035,26
35,5,,
34,13,0.8160132901126169,4
33,16,0.18510661046613208,1
32,11,0.6513456014260771,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
