Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,50,,
55,146,0.9716115283171033,140
54,74,0.7052090444804464,56
53,36,0.8399815822450951,29
52,29,0.6666006964672029,25
51,109,,
50,96,0.4755418270883424,22
49,144,1.6068439273560073,3
48,148,0.8765496652866844,13
47,216,,
46,171,0.6682953681576702,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,,
36,28,0.925647272992675,27
35,4,,
34,13,0.8506185442592327,4
33,16,0.4082047508995652,1
32,12,0.7538622548510894,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
