Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,54,2.3792609899269057,52
55,147,1.0551980285316058,143
54,72,0.8498223720805265,57
53,35,0.9284880086386345,29
52,26,1.0396322404120126,22
51,112,0.7114730383197967,109
50,97,0.6447311049566825,23
49,143,1.8914399816546141,3
48,148,0.8148667621165336,13
47,216,,
46,171,1.8516043507587447,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,,
34,13,0.8885397881158268,4
33,16,0.20485184541273505,1
32,12,0.7575018648196546,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
