Iteration,SampleCount,P_ESI,P_ESI_Weight
56,55,,
55,137,0.019340557,136
54,75,0.018370412547169812,53
53,39,0.022217316206896556,29
52,25,0.006869535047619043,21
51,119,0.010071011730434782,115
50,90,0.058391099725,80
49,133,0.04693160575572519,131
48,140,0.03329970003875969,129
47,216,0.02405825182142857,196
46,166,0.018411101850340138,147
45,57,0.010985672242424244,33
44,1215,0.012155992695111847,1207
43,146,0.012246709,10
42,610,0.007676666945812808,609
41,70,0.21412819924999998,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
