Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,0.099413652992,50
55,150,0.020412327223888888,144
54,72,0.04240262750689655,58
53,36,0.0508255618043871,31
52,27,0.03589154172736,25
51,112,,
50,82,0.07396309051443478,69
49,143,0.07684436614572307,130
48,146,0.08463598075068657,134
47,207,0.05603638709328333,192
46,179,0.049478452511794876,156
45,55,0.049345141836600014,40
44,1198,0.037551956113526484,1197
43,155,0.03203999053333333,9
42,608,0.03486481289508911,606
41,72,0.22450835100000002,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
