Iteration,SampleCount,P_ESI,P_ESI_Weight
56,48,,
55,150,0.0531685400283053,142
54,74,0.21160157372254917,58
53,36,0.056205777596437335,31
52,26,0.08264443582575999,24
51,107,0.12260753327997337,106
50,91,15415037.812316228,72
49,137,6.296090911246592,127
48,151,1.0479079104791427,136
47,204,5.924350417671256,191
46,175,246.4328329251511,151
45,60,10.812935205257952,40
44,1217,2.691743055204079,1216
43,138,1.8332571934673962,11
42,599,,
41,79,0.2229270969937977,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
