Iteration,SampleCount,P_ESI,P_ESI_Weight
56,52,,
55,148,0.03983563767772472,144
54,71,0.04118420677060151,57
53,34,0.04890246856230957,28
52,25,0.027095647197464084,20
51,119,0.020232233595844567,114
50,83,0.1269015606606747,72
49,133,0.09190903457203561,123
48,155,0.07528360512613824,136
47,204,0.06030578924968887,191
46,171,0.05289700876169706,147
45,61,0.07306897428031776,37
44,1211,0.039494410032495764,1207
43,145,0.054899892315780664,9
42,617,0.026030819522961636,615
41,63,0.171511973252075,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
