Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,0.07790344432445812,49
55,148,0.03368684574433252,141
54,74,0.03217538625486584,57
53,34,0.027866581744084584,28
52,27,0.03943472400708343,22
51,115,0.024874248797964314,112
50,86,0.11707926794495135,73
49,141,0.07477388669083569,132
48,140,0.06245942731989423,130
47,207,0.04868495937746914,188
46,177,0.045949334947994726,150
45,60,0.047406284073275975,39
44,1213,0.0230735921539077,1211
43,143,0.04263423622813219,11
42,609,,
41,70,0.2523107028128526,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
