Iteration,SampleCount,P_ESI,P_ESI_Weight
56,54,0.05120253908608993,53
55,144,0.026593528898244904,141
54,72,0.029193522177338713,55
53,34,0.036387706927594916,26
52,30,0.02882358088770853,23
51,118,0.017999501392192703,116
50,87,0.0971309169547808,78
49,128,0.0826540557628075,124
48,148,0.07963603245639969,130
47,219,0.06840338096278198,200
46,167,0.0522198496308224,152
45,56,0.06741018363799353,37
44,1204,0.04243459720609737,1200
43,152,0.06758786185823701,9
42,610,0.03511797716823792,608
41,71,0.18259336861030154,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
