Iteration,SampleCount,P_ESI,P_ESI_Weight
56,52,,
55,145,0.055209602502111835,141
54,77,0.04236122496578809,60
53,35,0.04872453659812064,32
52,25,0.05041736366823581,24
51,114,0.0369126084015035,113
50,89,0.10405041506900435,77
49,135,0.08311995920149484,130
48,144,0.07176113770487685,132
47,212,0.06239855958094988,195
46,179,0.05796142105663948,159
45,44,0.059700097384983955,32
44,1207,0.052208569213706923,1198
43,155,0.03210724582224714,10
42,598,0.045211177356628295,597
41,81,0.21108873982364984,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
