Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,47,,
55,151,115.45194868887324,142
54,73,32.77566414017543,57
53,37,58.31205631709679,31
52,24,17.13774977,22
51,116,53.52786585575221,113
50,85,5.929194687493161,73
49,142,3.665880512076693,133
48,147,3.491840980427537,138
47,200,2.4054709967619043,189
46,174,8.940337463601361,148
45,61,2.8547301742368414,38
44,1211,8.473102898294703,1208
43,145,0.5608922199999986,10
42,604,1.9845666572802654,603
41,75,1.0719334366666682,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
