Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,50,869.415951332041,49
55,151,576.0335702430682,144
54,72,568.6638277577646,58
53,34,642.3059150332482,29
52,29,434.5413218152484,25
51,112,,
50,91,721.4231383795067,78
49,134,628.4335882606499,130
48,146,506.58036907852795,134
47,206,450.28584040637276,191
46,179,411.86353169090256,155
45,50,327.13460800081833,34
44,1216,376.0848540469626,1209
43,140,287.89157736270676,6
42,603,277.3251781129374,598
41,81,259.3389587119049,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
