Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,47,,
55,151,1655.7192260551765,142
54,75,7418.329102399801,59
53,36,597.4068377870205,32
52,20,1594.8309164079424,19
51,118,2267.649765213315,112
50,91,351994740945.8015,78
49,128,3232.7743782854486,124
48,152,404.1893865932837,134
47,209,3688.989766571854,194
46,178,1799.8157372656553,157
45,49,1384.0575654433133,35
44,1220,238.53053695633628,1214
43,140,408.2314444207607,11
42,594,,
41,84,10.095456018673866,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
