Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,52,,
55,143,330.9409367553721,139
54,78,396.9057099493756,59
53,34,516.4940356181248,30
52,23,280.0716976421835,20
51,114,305.8052268364344,109
50,88,340.1468350066604,72
49,143,213.15463848686707,133
48,133,143.26535718858034,124
47,226,174.72928502670075,201
46,168,175.74696326940574,154
45,54,119.48786481244461,37
44,1211,170.44714227359074,1207
43,146,75.35784775717556,10
42,605,142.41085692801653,604
41,75,176.11030191328499,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
