Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,54,585.8614712906696,53
55,142,322.7593221267525,139
54,73,145.68800508755677,54
53,40,153.7009529821472,31
52,26,134.85388932079232,24
51,116,112.7789392156046,115
50,82,178.86993861048896,72
49,133,80.37536075552548,123
48,153,82.41339241648554,134
47,212,43.34704501336793,197
46,173,69.72439559715984,155
45,53,34.49340247148377,37
44,1198,44.607954136484665,1194
43,159,32.5625607042946,10
42,615,29.101468178370745,614
41,65,32.805033196080764,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
