Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,51,715.3194503813054,49
55,150,312.16636825060397,143
54,70,292.4773522380113,55
53,38,381.6333128484015,30
52,23,276.06360487263356,20
51,115,329.1638546612978,110
50,91,278.0239990429962,76
49,134,198.69871377044538,128
48,144,226.69045178082385,130
47,216,190.35864657889303,197
46,178,178.9345910117587,160
45,48,158.20022122077285,37
44,1208,216.51319905643783,1204
43,148,173.4110991735909,9
42,607,218.85723281556255,605
41,74,243.5396927839505,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
