Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,51,,
55,152,337.57726906079154,147
54,64,335.1928206406094,53
53,41,445.66956932652687,31
52,24,323.16089549984446,22
51,117,374.8933660887138,114
50,82,299.9902474835849,71
49,141,262.11794350498957,130
48,148,240.47690396823776,136
47,203,243.41177834857803,190
46,176,266.2472826659848,151
45,57,179.70404154579828,37
44,1213,231.57553464115523,1209
43,145,199.1475782563173,11
42,598,,
41,81,255.13024001645866,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
