Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,50,,
55,147,0.3477307627029735,141
54,74,0.5989059723255332,57
53,34,0.27309150606537996,28
52,30,1.25750121336546,25
51,108,,
50,96,6.609569652880126,21
49,145,13.680689891597511,3
48,149,48.326483178545615,14
47,215,,
46,171,280.22763260200605,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,13,116.94966022179977,4
33,16,127.52090696865825,1
32,12,409.2223311110799,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
