Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,47,,
55,150,1.457723218881751,141
54,74,0.9615769878055759,57
53,36,0.7284720581817189,30
52,28,3.2839138798112693,25
51,112,,
50,93,1.7248598319519597,22
49,144,1.417399953196144,3
48,149,1.0878459253346202,14
47,215,,
46,171,24.59149267583593,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.11863879637321384,1
37,7,,
36,24,,
35,7,,
34,13,0.5651988613629876,4
33,16,0.5377344215086879,1
32,11,0.7905749467243481,6
31,57,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
